"expression_index","phase","start_line","end_line","line_span","call_head","assignment_target","is_function_definition","preview"
51,"input_normalization_and_string_mapping",292,292,1,"<-","initial_total",FALSE,"initial_total <- nrow(mapped_initial)"
52,"input_normalization_and_string_mapping",293,293,1,"<-","initial_mapped",FALSE,"initial_mapped <- sum(!is.na(mapped_initial$STRING_id))"
53,"input_normalization_and_string_mapping",294,294,1,"<-","initial_unmapped",FALSE,"initial_unmapped <- initial_total - initial_mapped"
54,"input_normalization_and_string_mapping",295,295,1,"<-","initial_pct",FALSE,"initial_pct <- round(100 * initial_mapped / initial_total, 1)"
55,"input_normalization_and_string_mapping",297,297,1,"<-","unmapped_genes",FALSE,"unmapped_genes <- sort(unique(mapped_initial$gene[is.na(mapped_initial$STRING_id)]))"
56,"input_normalization_and_string_mapping",299,304,6,"<-","alias_corrections",FALSE,"alias_corrections <- tibble( original_gene = unmapped_genes, corrected_gene = NA_character_, method = NA_character_, mapped_after = FALSE )"
57,"input_normalization_and_string_mapping",306,381,76,"if",,FALSE,"if (length(unmapped_genes)) { msg(""Trying unambiguous STRING alias correction for unmapped symbols."") string_tables <- tryCatch( list( aliases = string_db$get_aliases(), protein..."
58,"input_normalization_and_string_mapping",383,385,3,"<-","valid_alias_corrections",FALSE,"valid_alias_corrections <- alias_corrections %>% filter(!is.na(corrected_gene), nzchar(corrected_gene)) %>% distinct(original_gene, corrected_gene)"
59,"input_normalization_and_string_mapping",387,387,1,"<-","input_final",FALSE,"input_final <- input_tbl"
60,"input_normalization_and_string_mapping",389,398,10,"if",,FALSE,"if (nrow(valid_alias_corrections)) { input_final <- input_final %>% mutate( gene = ifelse( gene %in% valid_alias_corrections$original_gene, valid_alias_corrections$corrected_gen..."
61,"input_normalization_and_string_mapping",400,400,1,"<-","mapped_final_raw",FALSE,"mapped_final_raw <- map_to_string(string_db, input_final, ""gene"", removeUnmappedRows = FALSE)"
62,"input_normalization_and_string_mapping",402,411,10,"if",,FALSE,"if (nrow(alias_corrections)) { alias_status <- mapped_final_raw %>% distinct(gene, STRING_id) alias_corrections <- alias_corrections %>% mutate( mapped_after = !is.na(corrected_..."
63,"input_normalization_and_string_mapping",413,415,3,"<-","mapped_final",FALSE,"mapped_final <- mapped_final_raw %>% filter(!is.na(STRING_id), grepl(""^9606\\."", STRING_id)) %>% distinct(STRING_id, .keep_all = TRUE)"
64,"input_normalization_and_string_mapping",417,419,3,"if",,FALSE,"if (nrow(mapped_final) < 2) { stop(""Fewer than two unique STRING identifiers were mapped."", call. = FALSE) }"
65,"input_normalization_and_string_mapping",421,421,1,"<-","after_total",FALSE,"after_total <- nrow(mapped_final_raw)"
66,"input_normalization_and_string_mapping",422,422,1,"<-","after_mapped",FALSE,"after_mapped <- sum(!is.na(mapped_final_raw$STRING_id))"
67,"input_normalization_and_string_mapping",423,423,1,"<-","after_unmapped",FALSE,"after_unmapped <- after_total - after_mapped"
68,"input_normalization_and_string_mapping",424,424,1,"<-","after_pct",FALSE,"after_pct <- round(100 * after_mapped / after_total, 1)"
69,"string_subnetwork_construction",426,426,1,"msg",,FALSE,"msg(""Building STRING subnetwork."")"
70,"string_subnetwork_construction",427,427,1,"<-","ppi_raw",FALSE,"ppi_raw <- string_db$get_subnetwork(unique(mapped_final$STRING_id))"
71,"string_subnetwork_construction",429,431,3,"if",,FALSE,"if (is.null(ppi_raw) || igraph::gorder(ppi_raw) == 0 || igraph::gsize(ppi_raw) == 0) { stop(""The STRING subnetwork is empty at the selected score threshold."", call. = FALSE) }"
72,"string_subnetwork_construction",433,435,3,"<-","ppi",FALSE,"ppi <- ppi_raw %>% igraph::as_undirected(mode = ""collapse"") %>% igraph::simplify(remove.multiple = TRUE, remove.loops = TRUE, edge.attr.comb = ""first"")"
73,"string_subnetwork_construction",437,437,1,"<-","node_ids",FALSE,"node_ids <- igraph::V(ppi)$name"
74,"string_subnetwork_construction",439,446,8,"<-","annotation",FALSE,"annotation <- mapped_final %>% group_by(STRING_id) %>% summarise( gene = first(gene[order(pvalue, na.last = TRUE)]), pvalue = safe_min(pvalue), logFC = safe_mean(logFC), .groups..."
75,"network_metrics_modules_and_candidates",448,448,1,"msg",,FALSE,"msg(""Calculating network metrics."")"
76,"network_metrics_modules_and_candidates",449,449,1,"<-","comp",FALSE,"comp <- igraph::components(ppi)"
77,"network_metrics_modules_and_candidates",450,450,1,"<-","largest_component",FALSE,"largest_component <- which.max(comp$csize)"
78,"network_metrics_modules_and_candidates",451,451,1,"<-","lcc_nodes",FALSE,"lcc_nodes <- node_ids[comp$membership == largest_component]"
79,"network_metrics_modules_and_candidates",452,452,1,"<-","ppi_lcc",FALSE,"ppi_lcc <- igraph::induced_subgraph(ppi, vids = igraph::V(ppi)[name %in% lcc_nodes])"
80,"network_metrics_modules_and_candidates",454,454,1,"<-","louvain",FALSE,"louvain <- igraph::cluster_louvain(ppi, weights = NA)"
81,"network_metrics_modules_and_candidates",456,456,1,"<-","degree_all",FALSE,"degree_all <- igraph::degree(ppi, mode = ""all"", loops = FALSE)"
82,"network_metrics_modules_and_candidates",457,457,1,"<-","betweenness_all",FALSE,"betweenness_all <- igraph::betweenness(ppi, directed = FALSE, normalized = TRUE)"
83,"network_metrics_modules_and_candidates",458,458,1,"<-","closeness_all",FALSE,"closeness_all <- suppressWarnings(igraph::closeness(ppi, mode = ""all"", normalized = TRUE))"
84,"network_metrics_modules_and_candidates",459,459,1,"<-","closeness_all[is.nan(closeness_all)]",FALSE,"closeness_all[is.nan(closeness_all)] <- NA_real_"
85,"network_metrics_modules_and_candidates",461,465,5,"<-","harmonic_all",FALSE,"harmonic_all <- if (""harmonic_centrality"" %in% getNamespaceExports(""igraph"")) { igraph::harmonic_centrality(ppi, mode = ""all"", normalized = TRUE) } else { rep(NA_real_, igraph::..."
86,"network_metrics_modules_and_candidates",467,467,1,"<-","local_clustering_all",FALSE,"local_clustering_all <- igraph::transitivity(ppi, type = ""local"", isolates = ""zero"")"
87,"network_metrics_modules_and_candidates",468,468,1,"<-","local_clustering_all[is.nan(local_clustering_all)]",FALSE,"local_clustering_all[is.nan(local_clustering_all)] <- NA_real_"
88,"network_metrics_modules_and_candidates",470,487,18,"<-","stress_all",FALSE,"stress_all <- tryCatch( { adj <- as.matrix(igraph::as_adjacency_matrix(ppi, sparse = FALSE, attr = NULL)) rownames(adj) <- node_ids colnames(adj) <- node_ids sna::stresscent( ad..."
89,"network_metrics_modules_and_candidates",489,489,1,"<-","global_clustering",FALSE,"global_clustering <- igraph::transitivity(ppi, type = ""global"")"
90,"network_metrics_modules_and_candidates",490,490,1,"if",,FALSE,"if (is.nan(global_clustering)) global_clustering <- NA_real_"
